country,athlete_count,rank,gold,silver,bronze,total,rank by total,country_code,gdp,population,medals_per_athlete,medals_per_million_pop,medals_per_billion_gdp,gold_percentage,weighted_medal_score,weighted_score_per_athlete,weighted_score_per_million_pop,rank_medals_per_athlete,rank_medals_per_million_pop,rank_medals_per_billion_gdp,rank_weighted_medal_score,country_size_category,gdp_category
Argentina,180,72,0,1,2,3,60,ARG,487902572164.3484,45312281.0,0.016666666666666666,0.06620721653805069,0.006148768568060469,0.0,4,0.022222222222222223,0.08827628871740092,93,76,84,69,Medium,Medium
Armenia,16,69,0,2,2,4,47,ARM,13878908628.937807,2962300.0,0.25,1.3503021301016103,0.2882070994876296,0.0,6,0.375,2.0254531951524153,3,18,7,61,Small,Low
Australia,470,6,17,7,22,46,6,AUS,1559033756285.1294,25685412.0,0.09787234042553192,1.790899830612022,0.02950545478220366,36.95652173913043,87,0.1851063829787234,3.3871366361575204,44,14,43,6,Medium,High
Austria,72,53,1,1,5,7,33,AUT,479295362747.0466,8955797.0,0.09722222222222222,0.7816166445041128,0.014604773056597102,14.285714285714285,10,0.1388888888888889,1.1165952064344469,45,31,62,40,Medium,Medium
Azerbaijan,41,67,0,3,4,7,33,AZE,54825411764.70589,10137750.0,0.17073170731707318,0.6904885206283445,0.12767801963881067,0.0,10,0.24390243902439024,0.9864121723262065,17,34,14,40,Medium,Medium
Bahamas,16,42,2,0,0,2,66,BHS,11368900000.0,396373.0,0.125,5.045752359519947,0.17591851454406318,100.0,6,0.375,15.137257078559841,31,4,10,61,Small,Low
Bahrain,30,77,0,1,0,1,77,BHR,39288670212.76596,1504365.0,0.03333333333333333,0.6647322956862197,0.025452630353344784,0.0,2,0.06666666666666667,1.3294645913724394,86,36,46,82,Small,Low
Belarus,104,45,1,3,3,7,33,BLR,69673747131.86996,9302585.0,0.0673076923076923,0.7524790152414624,0.10046825796165741,14.285714285714285,12,0.11538461538461539,1.2899640261282215,67,32,18,35,Medium,Medium
Belgium,125,29,3,1,3,7,33,BEL,600904461226.3469,11586195.0,0.056,0.604167287017006,0.011649106391578712,42.857142857142854,14,0.112,1.208334574034012,72,38,71,33,Medium,High
Bermuda,2,63,1,0,0,1,77,BMU,7286607000.0,64648.0,0.5,15.468382625912636,0.13723808625880332,100.0,3,1.5,46.4051478777379,2,2,13,75,Small,Low
Botswana,13,86,0,0,1,1,77,BWA,18750946600.142254,2401441.0,0.07692307692307693,0.4164166431738277,0.05333064091774511,0.0,1,0.07692307692307693,0.4164166431738277,59,49,31,89,Small,Low
Brazil,291,12,7,6,8,21,12,BRA,1670647399034.6658,209550294.0,0.07216494845360824,0.10021460528230039,0.012569977370529669,33.33333333333333,41,0.140893470790378,0.19565708650353886,60,72,68,12,Giant,High
Bulgaria,41,30,3,1,2,6,39,BGR,84041493015.66185,6507301.0,0.14634146341463414,0.922041257965476,0.07139330567201904,50.0,13,0.3170731707317073,1.9977560589251981,23,27,29,34,Medium,Medium
Burkina Faso,7,86,0,0,1,1,77,BFA,19643166853.66414,21995243.0,0.14285714285714285,0.045464376092594204,0.05090828823324203,0.0,1,0.14285714285714285,0.045464376092594204,24,82,33,89,Medium,Low
